Item No,Item Name,Collection,Product Type,"Department
(manual input)",Item Type,Gender,Line Status,PriceType,MSRP,UPC Code,Season,Catalog Status,MetalType,MetalColor,Case Shape,Watch Movement Type,Band Type,Band Color,Band Material,Watch Dial color,Watch crystal,Gem Type,Watch Case Diameter  (mm),Jlry Size,Jlry Dims,Length,Water Resistance (Meters),https://docs.google.com/spreadsheets/d/1_-9VqVemWseZXiEiXVuXxqIX4wOLo3l5Hhj5UnNy3rE/edit?gid=1368149032#gid=1368149032,Image Link 1,Image Link 2,IsImageFromURL
96B406,Bulova Stainless Steel Frank Sinatra Mens Watch,Bulova,Frank Sinatra,Timepieces,Watch,Mens,core,1,$795.00,42429594227,2023 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Automatic,Strap,Black,Leather,Black,Anti-Reflective Double Domed Sapphire Crystal,None,40,,,,0030M,"Capture the magic of some of the greatest performers of all time with the new limited edition Bulova men?s Rat Pack timepiece. Inspired by the iconic styles and personalities of legendary crooners Sammy Davis, Jr., Dean Martin, and Frank Sinatra, this all-new timepiece features a timelessly styled silver-tone stainless steel case with sapphire crystal and a special caseback adorned with the artists? signatures and the Rat Pack?s logo. The dial balances the deep notes of a radiant black center with the brilliance of a gold outer ring, with silver-tone hands to keep the beat and a perfectly framed date display. The watch is powered by a self-winding movement with 21 jewels and a power reserve of 42 hours and is paired with a luxurious leather strap. Limited to 5,000 pieces, this timepiece is delivered with special Rat Pack packaging and a limited edition card. Swing like the King of Cool, charm like Old Blue Eyes, or take the world by storm like Mr. Show Business?with this new Bulova men?s timepiece on your wrist, you?ll have the world on a string with your impeccable taste.",https://bulova.widen.net/content/1s6cw80sgx/jpeg/96B406.jpeg?w=1400&h=2048&position=c&color=ffffff&quality=100&u=h8bidb,https://bulova.widen.net/content/fr6docxvkf/jpeg/96B406_BACK.jpeg?w=1400&h=2048&position=c&color=ffffff&quality=100&u=h8bidb,1
96B407,Bulova Stainless Steel Marc Anthony Mens Watch,Bulova,Marc Anthony,Timepieces,Watch,Mens,core,1,$550.00,42429594562,2023 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Strap,Orange,Silicone,Blue,Anti-Reflective Sapphire Crystal,None,46,,,,0100M,"Partnering with legendary performer Marc Anthony, Bulova presents the bold Marc Anthony Maquina men?s timepiece. The watch has modern design with a rugged edge, with a faceted silver-tone stainless steel case with 100m water resistance and a flat sapphire crystal with anti-reflective coating for exceptional legibility. The brilliant blue dial features silver-tone and orange accents, including orange accenting at 1, 3, and 5 o?clock, chosen by Marc for their personal significance. The dial features a date display and registers displaying running seconds and 60-minute chronograph counter. Paired with a vibrant orange silicone strap, this exceptional timepiece perfectly captures the essence of Anthony?s timeless music, keeping you in time so you never miss a beat.",https://bulova.widen.net/content/46rtjazi6e/jpeg/96B407.jpeg?w=1400&h=2048&position=c&color=ffffff&quality=100&u=h8bidb,https://bulova.widen.net/content/ekzhtd7jes/jpeg/96B407_CASEBACK.jpeg?w=1400&h=2048&position=c&color=ffffff&quality=100&u=h8bidb,1
96B426,Bulova Stainless Steel Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,core,1,$795.00,42429597501,2024 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,HPQ Precisionist,Bracelet,Silver-Tone,Stainless Steel,White,Anti-Reflective Sapphire Crystal,None,43,,,,0200M,"An incredibly bold design, this men?s Bulova Marine Star Precisionist sport watch pushes the limits with Bulova?s cutting edge technology and a strikingly modern case. Defined by a rugged, angular profile, the 43mm stainless steel case features brushed facets and polished accents, with a unidirectional timing bezel with a ceramic insert, a sapphire crystal, and a screw-down crown ensuring 200m water resistance. The bright white dial takes its inspiration from the undulating crests of the ocean, with a wave pattern accented by applied hour markers and a bold handset, all featuring luminescent material for unrivaled legibility in all conditions. A date window is position at 3 o?clock, while the red-tipped seconds hand brings a subtle pop of color and sweeps smoothly around the dial thanks to Bulova?s proprietary Precisionist movement, a revolutionary 8-jewel quartz mechanism vibrating at a remarkable 262kHz and accurate to seconds per year with increased resistance to temperature changes. With a 3-link, dual-finished stainless steel bracelet featuring a secure foldover clasp, this men?s Bulova timepiece is equipped to handle everything from the office to the ocean.",https://citizenwatch.widen.net/content/bo8ykz8ssv/jpeg/96B426.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://citizenwatch.widen.net/content/2xc3hip2bd/jpeg/96B426_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96B427,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,core,1,$425.00,42429597563,2024 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Automatic,Strap,Brown,Leather,Green,Anti-Reflective Sapphire Crystal,None,39,,,,0030M,"The Bulova men?s Surveyor is defined by exceptional quality and sophisticated aesthetics. The silver-tone stainless steel case features sculpted edges and faceting which provide an effortless wear on the wrist, with polished and brushed finishing, a flat sapphire crystal, and a quick-release brown leather strap. The striking pistachio radiant sunburst finish and features silver-tone accents, hands with luminescent fill, debossed minute markers, and a magnified date display. The watch is powered by an  21-jewels and a 42-hour power reserve, which can be seen in full through a mineral crystal exhibition window in the caseback. For those with a discerning eye for refined luxury, this Bulova men?s timepiece is the obvious choice.",https://citizenwatch.widen.net/content/3yh20meawi/jpeg/96B427.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://citizenwatch.widen.net/content/5ycnttjsip/jpeg/96B427_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96B429,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,core,1,$475.00,42429597549,2024 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Automatic,Bracelet,Silver-Tone,Stainless Steel,Green,Anti-Reflective Sapphire Crystal,None,39,,,,0030M,"The Bulova men?s Surveyor is defined by exceptional quality and sophisticated aesthetics. The silver-tone stainless steel case features sculpted edges and faceting which provide an effortless wear on the wrist, with polished and brushed finishing, a flat sapphire crystal, and a matching quick-release 3-link stainless steel bracelet with a push-button deployant clasp. The striking  and features silver-tone accents, hands with luminescent fill, debossed minute markers, and a magnified date display. The watch is powered by an automatic 21-jewels and a 42-hour power reserve, which can be seen in full through a mineral crystal exhibition window in the caseback. For those with a discerning eye for refined luxury, this Bulova men?s timepiece is the obvious choice.",https://bulova.widen.net/content/lbpesomydn/jpeg/96B429_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/7o2azswnwi/jpeg/96B429_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96B431,Bulova Stainless Steel Performance Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,core,1,$695.00,42429597853,2024 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,HPQ Precisionist,Strap,Black,Silicone,Yellow,Sapphire Crystal,None,43,,,,0200M,"An incredibly bold design, this men?s Bulova Marine Star Precisionist sport watch pushes the limits with Bulova?s cutting edge technology and a strikingly modern case. Defined by a rugged, angular profile, the 43mm stainless steel case features brushed facets and polished accents, with a unidirectional timing bezel with a ceramic insert, a sapphire crystal, and a screw-down crown ensuring 200m water resistance. The vibrant yellow dial takes its inspiration from the undulating crests of the ocean, with a wave pattern accented by applied hour markers and a bold handset, all featuring luminescent material for unrivaled legibility in all conditions. A date window is positioned at 3 o?clock, while the red-tipped seconds hand sweeps smoothly around the dial thanks to Bulova?s proprietary Precisionist movement, a revolutionary 8-jewel quartz mechanism vibrating at a remarkable 262kHz and accurate to seconds per year with increased resistance to temperature changes. Paired with a durable silicone strap with a pin buckle closure, this men?s Bulova timepiece is equipped to handle everything from the office to the ocean.",https://bulova.widen.net/content/xfeauykdxg/jpeg/96B431_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/nbatigd258/jpeg/96B431_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96B459,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,New,1,$550.00,42429603349,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Dodecagon,Quartz,Bracelet,Silver-Tone,Stainless Steel,Gray,Anti-Reflective Sapphire Crystal,None,40,,,,0100M,"Bold, modern design characterizes this 6-hand chronograph from the Classic Bulova Prestige men?s collection. The watch features a geometric 40mm silver-tone stainless steel case with a flat sapphire crystal with anti-reflective coating, 100m of water resistance, and a chamfered 3-link bracelet with a combination of brushed and polished finishes and a push-button deployant closure. The elegantly striped gray dial has silver-tone hands and applied markers with Super-LumiNova luminescent fill, a date display, and silver-tone sub-dials including a 24-hour display. Highly functional with a?distinctive design, this timepiece is suited for any occasion, from the everyday to the extraordinary.",https://bulova.widen.net/content/izmuszg9oc/jpeg/96B459_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/u6d858wcha/jpeg/izmuszg9oc_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96B460,Bulova Stainless Steel Performance Mens Watch,Bulova,Team Miami,Timepieces,Watch,Mens,New,1,$495.00,42429603547,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Strap,Two-Tone,Leather and Silicone,Blue,Anti-Reflective Sapphire Crystal,None,43,,,,0100M,"Ushering in a new era of electric boat racing, the Team Miami E1 Racing Marine Star B commemorates E1?s Team Miami and the E1 Championship. The striking timepiece designed in the Team Miami E1 colors features a silver-tone stainless steel case with a flat sapphire crystal with anti-reflective coating and 100m of water resistance, a custom logo case back, and a leather and silicone rubber strap that coordinates with the dial. The blue dial has silver-tone applied markers and hands with Super-LumiNova luminescent fill, bright green accents, a date display, and orange and silver-tone subdials, including registers allowing timing to 1/20 of a second. As the?official timekeeping partner of E1 Team Miami, Bulova presents this special edition timepiece in its custom designed box inspired by this exhilarating new frontier of speed.",https://bulova.widen.net/content/8fbihfnhzy/jpeg/96B460_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/hjz3yfttwg/jpeg/8fbihfnhzy_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96B461,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Frank Sinatra,Timepieces,Watch,Mens,New,1,$495.00,42429603622,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Rectangle,Quartz,Bracelet,Silver-Tone,Stainless Steel,Black,Anti-Reflective Curved Sapphire Crystal,None,30,,,,0030M,"This enduring design from Bulova?s Frank Sinatra collection is inspired by classic Bulova model from the legendary crooner?s heyday. The watch features a 30mm silver-tone stainless steel case with a curved sapphire crystal with anti-reflective coating, a case back engraved with the Sinatra logo and ?The Very Thought of You,? and a matching 7-row bracelet with a push-button deployant clasp. The radiant black dial is appointed with a date display and silver-tone hands and applied markers, including Sinatra?s signature fedora at 12 o?clock. As classic as Sinatra himself, this Bulova men?s watch offered in a custom Frank Sinatra box is a timeless addition with style that will last a lifetime.",https://bulova.widen.net/content/c5glpzana8/jpeg/96B461_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/g0x0diqwxg/jpeg/c5glpzana8_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96C134,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$625.00,42429561458,2018 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Silver-White,Mineral Crystal,Crystal,41.5,,,,0030M,"Multi-function dress watch boldly embellished with 300 crystals on the stainless steel case and bracelet, and the pave set six-hand silver white dial. Flat mineral crystal, deployant closure, quartz movement, and water resistance to 30 meters.",https://bulova.widen.net/content/segmqzmt63/jpeg/96C134.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/r43endsq6p/jpeg/96C134_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96D145,Bulova Stainless Steel Modern BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$375.00,42429567207,2019 SPRING,Catalog,Stainless Steel,Silver-Tone,Rectangle/Tank,Quartz,Bracelet,Silver-Tone,Stainless Steel,Black,Metalized Mineral Crystal,Diamond,30.5,,,,0030M,Introducing a new tank style. Silver tone stainless steel case with edge to edge black faceted metalizing mineral crystal. Black dial with three diamonds set on dial. Water resistance to 30 meters.,https://bulova.widen.net/content/gl4mxngmqj/jpeg/96D145.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/uy38vj9ntk/jpeg/96D145_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96K111,Bulova Stainless Steel Heritage Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,core,1,$895.00,42429592643,2023 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,High Performance Quartz,Bracelet,Silver-Tone,Stainless Steel,Black,Anti-Reflective Sapphire Crystal,None,43.5,,,,0050M,"On August 2, 1971, a Bulova chronograph was worn on the moon, engineered  for the demands of the lunar environment. Now, Bulova returns to the design and updates it with an exclusive high precision quartz movement, continuing its legacy of precision timing with the men?s Bulova Lunar Pilot chronograph from the Archive Series. The Lunar Pilot chronograph features the same 43.5mm silver-tone stainless steel case as the original Bulova chronograph. Slim chronograph pushers and a crown featuring the Bulova tuning fork logo are positioned at 3 o?clock. Under the flat sapphire crystal, the six-hand chronograph dial is rendered in a deep black evocative of space, with stark white accents including the tachymeter ring and retro Bulova logo. The slim hands and applied markers offer exceptional legibility and are applied with super luminova for low-light display.  The recessed, circular grooved sub-dials include a 1/20 chronograph seconds counter at 3 o?clock, running seconds hand at 6 o?clock, and a 60-minute chronograph counter at 9 o?clock. The Lunar Pilot is powered by Bulova?s proprietary high precision quartz movement, resonating at a frequency of 262khz for unparalleled accuracy. The watch is paired with a matching 3-link silver-tone stainless steel bracelet with a push-button deployant clasp and a NATO leather strap, both of which feature an easy release system for quick changes. The Bulova Lunar Pilot brings the past to the present with a design from space exploration history, perfect for the modern adventurer. ",https://bulova.widen.net/content/w1cr2nurc1/jpeg/96K111.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/drcztr2ojt/jpeg/96K111_box_set.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96K112,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,Core,1,$695.00,42429594197,2023 FALL,Catalog,Stainless Steel,Silver-Tone,Round,HPQ Precisionist,Bracelet,Silver-Tone,Stainless Steel,Silver-White,Domed Sapphire Crystal,None,40,,,,0050M,"Straight from the 1970s comes this limited edition Bulova 1973 Jet Star, an iconic model from the brands impressive history, now equipped with an equally impressive movement. Borrowing from its historic forebear, the stainless steel case features a striking angular design with broad facets and a domed sapphire crystal. The vivid silver-tone sunburst dial is accented by a blue and red chapter ring, applied blue and red hour markers, and bold red hands. Luminescent plots at each hour and fill in the hands allow for exceptional legibility in every environment, while a date display sits perfectly at 3 o?clock. The new Jet Star is powered by Bulova?s Precisionist movement, a revolutionary 8-jewel quartz mechanism vibrating at a remarkable 262kHz, accurate to 5 seconds per month with increased resistance to temperature changes, and with a sweeping seconds hand. Complementing the stainless steel case is a matching bracelet with a deployant clasp closure and latched spring bars for easy release. This limited edition model also includes a richly colored blue leather strap and is presented in special packaging with a numbered limited edition card. Strut your stuff in legendary style with the high-flying limited edition Bulova 1973 Jet Star, a legendary design recreated for the modern connoisseur.",https://bulova.widen.net/content/oydbuoze8o/jpeg/96K112.jpeg?w=1400&h=2048&position=c&color=ffffff&quality=100&u=h8bidb,https://bulova.widen.net/content/t4brrofwx2/jpeg/96K112_BACK.jpeg?w=1400&h=2048&position=c&color=ffffff&quality=100&u=h8bidb,1
96K114,Bulova Stainless Steel Dress/Classic BUL Mens Watch,Bulova,Bulova,Timepieces,Watch,Mens,core,1,$695.00,42429597525,2024 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Silver-White,Mineral Crystal,Crystal,42,,,,0050M,"From the Bulova men?s Crystal collection, a box set that exudes glamorous confidence. Impressively rendered in silver-tone stainless steel and set with 118 crystals, the case and matching bracelet feature sharp, dramatic faceting and a blend of brushed and polished finishes with a flat mineral crystal.  The lively sunray dial is appointed with a silver-tone handset and 11 crystal hour markers. Completing this striking set is a bold bracelet set with 260 crystals in a full pave Cuban link design with a tuning fork clasp. This Bulova men?s timepiece and bracelet box set is an unrestrained expression of self.",https://bulova.widen.net/content/g1dxeo37oc/jpeg/96K114_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://citizenwatch.widen.net/content/edilbozrz6/jpeg/96K114_BOX.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96L276,Bulova Stainless Steel Dress/Classic BUL Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,Core,1,$425.00,42429571051,2019 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Blue,Mineral Crystal,Crystal,32.5,,,,0030M,"Stainless steel case with blue faceted mineral glass dial to convey a 3-D look. Embellished with 120 crystals on the stainless steel case and bracelet with a short fold over buckle with pushers, flat mineral crystal, water resistance to 30 meters.",https://bulova.widen.net/content/rawqtvlww7/jpeg/96L276_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/pt2rklg3nu/jpeg/96L276_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96L285,Bulova Stainless Steel Dress/Classic BUL Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,Core,1,$295.00,42429581197,2020 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Silver-White,Mineral Crystal,None,28,,,,0030M,Stainless steel case and bracelet with a silver white dial featuring blue hands and markers. Domed mineral crystal. Short fold over buckle closure.,https://bulova.widen.net/content/kdjb9ahj74/jpeg/96L285.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/npw9gvl2sg/jpeg/96L285_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96L291,Bulova Stainless Steel Dress/Classic BUL Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,Core,1,$425.00,42429585447,2021 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,White,Mineral Crystal,Crystal,30.5,,,,0030M,"Stainless steel case, bracelet and lustrous white mother-of-pearl dial embellished with 174 brilliant crystals. Features a three-hand sub sweep quartz movement, flat mineral crystal, and water resistance to 30 meters.",https://bulova.widen.net/content/98htfls7i8/jpeg/96L291.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/7yvfooib67/jpeg/96L291_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96L293,Bulova Stainless Steel Modern BUL Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,Core,1,$550.00,42429585522,2021 SPRING,Catalog,Stainless Steel,Silver-Tone,Tonneau,Quartz,Bracelet,Silver-Tone,Stainless Steel,Blue,Curved Mineral Crystal,None,30,,,,0030M,"Distinctive asymmetrical tonneau shaped stainless steel case with a blue signature Futuro edge to edge curved metalized crystal features a blue dial and a stainless steel bracelet. The watch features a three-hand quartz movement, deployant buckle with pushers, and water resistance to 30 meters.",https://bulova.widen.net/content/rxg3fczw96/jpeg/96L293.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/vw9c6qa1ns/jpeg/96L293_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96L306,Bulova Stainless Steel Dress/Classic BUL Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,Core,1,$550.00,42429590687,2022 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,White,Double Domed Sapphire Crystal,Diamond,40,,,,0030M,"Legendary style never goes unnoticed. An elegant and understated Bulova women?s dress classic watch has been added to our iconic Rubaiyat Collection, featuring a 40mm case size. The silver-tone stainless steel case design features the signature synthetic blue spinel cabochon crown at the 12 o?clock position. The 3-hand opaline effect dial is detailed with Roman Numerals and stick markers and is encased in a domed sapphire crystal, and the silver-tone stainless steel bracelet has a deployant buckle with pushers. The new, larger Rubaiyat is a true wardrobe staple, enhancing any ensemble and easily going from day to evening with its clean, contemporary and infinitely elegant design. This quintessential timepiece has a sleek and sophisticated look that appeals to your refined, individual style. ",https://bulova.widen.net/content/jvyp8ydk7t/jpeg/96L306.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/vpfwzbn4yr/jpeg/96L306_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96L311,Bulova Stainless Steel Dress/Classic BUL Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,core,1,$375.00,42429592780,2023 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,White,Mineral Crystal,Crystal,28.5,,,,0030M,"This new addition to the Bulova ladies? Crystal collection balances a dressy aesthetic with sporty versatility. The silver-tone stainless steel case has a sweeping polished bezel fully set with dazzling crystals that complement the dial and bracelet, a total of 128 crystals providing sparkling beauty on the wrist. The opalescent mother-of-pearl dial features silver-tone hands with luminescent fill, polished silver-tone roman numerals, and hand-set crystal hour markers. The watch is complemented by a silver-tone stainless steel bracelet adorned with crystals, with a deployant push-button closure. Set with 128 crystals, this women?s Bulova timepiece expresses a radiant beauty.",https://bulova.widen.net/content/wmxuabgofy/jpeg/96L311.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/modmn2zypv/jpeg/96L311_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96L324,Bulova Stainless Steel Performance Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,core,1,$695.00,42429597419,2024 SPRING,Catalog,Stainless Steel,Silver-Tone,Octagon,Automatic,Strap,Blue,Silicone,White,Anti-Reflective Sapphire Crystal,None,35,,,,0100M,"Embrace a bold new you with the sporty Bulova ladies? automatic Marine Star. The silver-tone stainless steel case features an engaging blend of finishes for a dynamic presence on the wrist, while the sapphire crystal and protected crown provide modern reliability which is furthered by 100m of water resistance. The lustrous mother-of-pearl dial features silver-tone accents, with roman numeral hour markers and dramatic hands with luminescent fill to ensure legibility in every situation. On the lower half of the dial, a silver-tone ring frames an aperture offering a glimpse at the beating heart of the slim premium automatic movement, which features 24 jewels and a 42-hour power reserve. Completing the timepiece is a blue quick-release silicone strap which provides exceptional comfort and security. With its elegant luxury and mechanical soul, this Bulova ladies? timepiece is sure to carry you through the day in timeless style.",https://bulova.widen.net/content/uhatayjsuk/jpeg/96L324_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/7olt5pwknb/jpeg/96L324_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96L333,Bulova Stainless Steel Heritage Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,Core,1,$550.00,42429602663,2024 FALL,Catalog,Stainless Steel,Silver-Tone,Cushion,Quartz,Bangle,Silver-Tone,Stainless Steel,Silver-White,Silver Accents,None,16.7,,,,0030M,"Striking a delicate balance of femininity and powerful charm, our new American Girl ?M? timepiece is inspired by the original ladies? design from 1957 that was coined ?a superb Bulova watch and a magnificent bracelet in one glamorous ensemble,? and has become an instant style sensation. Reimagined from the Bulova Archives with a new elegance, the limited-edition American Girl timepiece features a faceted silver-tone stainless steel design with a petite tonneau-shaped case finished with a double-domed sapphire crystal and a white dial with blue minute and hour hands. The faceted bangle features jewelry chain with tongue-in-groove clasps. Channel timeless chic with this must-have accessory. Limited to 3,000 numbered pieces worldwide and presented in an elegant red keepsake box with white satin lining.",https://citizenwatch.widen.net/content/6e0ehjakwp/jpeg/96L333.jpeg?w=1400&h=2048&position=c&color=ffffff&quality=100&u=h8bidb,https://citizenwatch.widen.net/content/xg8tgui7c5/jpeg/96L333_CASEBACK.jpeg?w=1400&h=2048&position=c&color=ffffff&quality=100&u=h8bidb,1
96L338,Bulova Stainless Steel Dress/Classic BUL Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,New,1,$550.00,42429603424,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Pink,Double Curved Sapphire Crystal,None,30.5,,,,0030M,"Reinventing legendary style, this Bulova women?s watch introduces a new petite model to the historic Rubaiyat collection. A synthetic blue spinel cabochon crown accents the 30mm silver-tone stainless steel case that features a sapphire crystal and a matching bracelet with a push-button deployant closure. Elegant silver-tone hands and faceted clover-shaped markers appoint the lustrous pink mother-of-pearl dial. Enhance any ensemble, day or night, with this quintessentially feminine Bulova ladies? timepiece.",https://bulova.widen.net/content/bsdlremfti/jpeg/96L338_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/t3imyckc5w/jpeg/bsdlremfti_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
96L339,Bulova Stainless Steel Dress/Classic BUL Ladies Watch,Bulova,Bulova,Timepieces,Watch,Ladies,New,1,$495.00,42429603585,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Automatic,Strap,Purple,Leather,White,Domed Sapphire Crystal,None,34.5,,,,0030M,"Unparalleled in refinement and timeless in design, this Bulova women?s timepiece introduces a new automatic watch from the Sutton Collection that will elevate your style. The watch features a 34mm silver-tone case with a domed sapphire crystal with anti-reflective coating and is paired with a lavender color croc-textured leather strap. The lustrous mother-of-pearl dial features a sunray pattern, silver-tone hour markers and hands, and a floral aperture revealing the heart of the 21-jewel automatic movement, also visible through a transparent case back, which has a power reserve of 42 hours. This Bulova ladies? watch is made for those with an eye for style who want to make a statement.",https://bulova.widen.net/content/6u3pwhqdri/jpeg/96L339_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://citizenwatch.widen.net/content/cah1fekubt/jpeg/96L339_PROFILE.jpeg?w=1400&h=2048&position=c&color=ffffff&quality=100&u=h8bidb,1
